CODE	LOGCOST	OUTPUT	PLANES	WAGES	FUEL	MATERIAL	STGLEN	LOADF	DBTWGT	BNKDBT	VRTBL	VRTBLE	MGRSHR	FCFPCT	TIME	SUBJECT
NA77	13.24957	14.3703	7.10368	3.16547	-1.0539	3.30906	582.20001	0.466	0.58186	0.97576	0	0	0.02037	0.2655	8	6
NA78	13.41443	14.42448	7.31405	3.19007	-0.96623	3.48792	694.5	0.571	0.5495	0.77537	0	0	0.02295	0.30992	9	6
NA79	13.57629	14.45773	7.38857	3.29134	-0.60744	3.56251	830	0.571	0.52042	0	0	0	0.0244	0.25571	10	6
NE70	11.55052	13.29469	6.23956	2.50206	-2.193	1.83001	574	0.433	1.51665	0	0.55474	-0.00361	-0.0065	-0.08825	1	7
NE71	11.84933	13.18436	6.32994	2.62672	-2.17026	2.58363	518	0.471	1.75025	0	0.61208	-0.00578	-0.00944	-0.15612	2	7
NW71	13.0395	14.84742	6.92076	2.56372	-2.21582	2.69145	600.29999	0.383	0.49481	0.69307	0	0	0.00781	0.22674	2	7
NW73	13.24258	15.03063	6.8809	2.73069	-2.06229	2.89986	600.40002	0.409	0.50723	0.74296	0	0	0.00609	0.22397	4	7
NW74	13.48245	15.04837	7.0188	2.84678	-1.4116	3.10856	608.79999	0.458	0.47376	0.84619	0	0	0.00604	0.23891	5	7
NW75	13.59935	15.10822	7.05535	2.947	-1.2683	3.25804	631	0.453	0.48675	0.97154	0	0	0.0059	0.23242	6	7
NW76	13.75757	15.19748	7.29113	3.09685	-1.11027	3.42632	636.29999	0.484	0.42188	0.96721	0	0	0.0063	0.29208	7	7
NW77	13.85132	15.22872	7.43191	3.16296	-0.99448	3.42968	637.20001	0.483	0.42462	1	0	0	0.00665	0.29934	8	7
NW79	14.14765	15.2661	7.70719	3.33663	-0.5194	3.5537	688	0.553	0.44463	1	0	0	0.00529	0.28649	10	7
NW80	14.43264	15.31862	7.8693	3.43817	-0.05048	3.70227	702.20001	0.555	0.45252	1	0	0	0.00648	0.23927	11	7
PA70	14.05213	15.59585	7.2173	2.47797	-2.21467	2.43248	1180	0.597	0.7708	0.39131	0.40208	0.00209	0.00521	0.09097	1	8
PA71	14.07499	15.68054	7.1298	2.57214	-2.22562	2.57982	1132	0.558	0.75724	0.34578	0.41182	0.00201	0.00487	0.08248	2	8
PA72	14.1572	15.74169	7.24608	2.64962	-2.1443	2.73916	1142.59998	0.605	0.76677	0.34156	0.41684	0.00168	0.00404	0.09068	3	8
PA73	14.22243	15.7987	7.0996	2.79759	-1.96238	2.81998	1198.5	0.516	0.7695	0.17828	0.55253	0.00226	0.00409	0.09731	4	8
PA74	14.37686	15.68898	7.23705	2.91211	-0.86446	2.83108	1284.59998	0.504	0.81291	0.2531	0.56144	0.00146	0.0026	0.0269	5	8
PA75	14.39102	15.59619	7.37821	3.01404	-0.92352	3.09229	1349.30005	0.475	0.82542	0.30499	0.57595	0.00108	0.00187	0.0413	6	8
PA76	14.41916	15.6061	7.55741	3.0988	-0.98106	3.2184	1366.59998	0.525	0.75582	0.18686	0.57723	0.00242	0.00419	0.06017	7	8
PA77	14.51823	15.63861	7.88095	3.1943	-0.89905	3.30059	1409.69995	0.547	0.80992	0.56816	0.55263	0.00168	0.00304	0.07844	8	8
PA78	14.63942	15.62449	8.05921	3.31354	-0.85308	3.46093	1509.19995	0.612	0.68371	0.80563	0.52098	0.00186	0.00357	0.11237	9	8
PA79	14.80755	15.66804	8.21728	3.41462	-0.46871	3.53811	1620	0.589	0.72904	0.63541	0.41492	0.00109	0.00262	0.06426	10	8
PA80	15.21019	15.87164	8.02603	3.48756	-0.02482	3.61459	1675.09998	0.553	0.76065	0.35985	0.24714	0.00041	0.00165	-0.00673	11	8
TW70	14.11911	15.67687	6.91597	2.51241	-2.26152	2.40778	979	0.489	1	0.27566	0.30841	-0	-0	0.00828	1	9
TW71	14.09767	15.70322	6.85286	2.43701	-2.2462	2.37266	975	0.496	1	0.21171	0.33261	-0	-0	0.10597	2	9
TW72	14.19003	15.71783	6.9134	2.64505	-2.1835	2.63685	956.29999	0.564	1	0.23018	0.30379	-0	-0	0.03551	3	9
TW74	14.44765	15.7174	6.92016	2.83175	-1.37845	2.91129	922.09998	0.524	1	0.25982	0.28249	-0	-0	-0.02733	5	9
TW75	14.51653	15.66561	6.99675	2.95187	-1.20655	3.01561	902.20001	0.534	1	0.31852	0.27495	-0	-0	-0.06888	6	9
TW76	14.58073	15.66594	7.06925	3.00219	-1.12043	3.05096	898.90002	0.567	1	0.10728	0.29878	-0	-0	0.05121	7	9
TW77	14.70652	15.70636	7.13729	3.13162	-0.97964	3.11057	902.40002	0.574	1	0.15226	0.45698	-0	-0	0.05995	8	9
TW78	14.79574	15.68765	7.43286	3.25961	-0.91933	3.19392	897.09998	0.632	1	0.1618	0.48563	-0	-0	0.0243	9	9
TW79	14.98474	15.71017	7.57054	3.38061	-0.50779	3.30724	916	0.639	1	0.12851	0.47098	-0	-0	-0.00503	10	9
TW80	15.11437	15.64798	7.68484	3.4792	-0.07407	3.50598	904.09998	0.617	1	0.12508	0.14837	-0	-0	0.00483	11	9
UN70	14.33238	15.80846	6.73824	2.57458	-2.201	2.21578	679	0.519	0.75262	0.07956	0.30521	0.00114	0.00373	0.12618	1	10
UN71	14.29999	15.78798	6.63264	2.63122	-2.14388	2.23629	749	0.499	0.72427	0.08864	0.34006	0.00119	0.00349	0.14825	2	1
UN72	14.40125	15.82874	6.75727	2.72966	-2.13025	2.36033	707.70001	0.546	0.72774	0.08467	0.32483	0.00108	0.00333	0.16523	3	10
UN73	14.46407	15.87131	6.73383	2.75603	-2.05377	2.49436	690.40002	0.558	0.71578	0.09278	0.35592	0.00131	0.00369	0.20172	4	10
UN74	14.60682	15.79922	6.84089	2.86184	-1.54959	2.58115	676.70001	0.596	0.70048	0.08598	0.28975	0.00098	0.00337	0.21629	5	10
UN75	14.69648	15.77643	6.92592	2.93655	-1.33368	2.66473	668.5	0.579	0.71405	0.08198	0.3108	0.00083	0.00266	0.19731	6	10
UN76	14.84758	15.84641	7.03291	3.05227	-1.13988	2.85042	654.70001	0.604	0.72404	0.07727	0.33476	0.00077	0.0023	0.20222	7	10
UN77	14.95222	15.90248	7.1399	3.15212	-1.02766	2.96212	663.20001	0.609	0.69541	0.07122	0.2652	0.00088	0.00333	0.21388	8	10
UN78	15.09086	16.00635	7.41011	3.27351	-0.95604	3.02699	694.79999	0.641	0.68222	0	0.21651	0.00086	0.00397	0.22759	9	10
UN80	15.412	16.05874	7.58463	3.48859	-0.17216	3.26023	879.59998	0.584	0.71206	0	0.07633	0.00031	0.00407	0.11374	11	10
WE70	12.65431	14.05288	6.70762	2.50273	-2.11063	2.47269	559	0.524	0.77502	0.55868	0.17024	0.01456	0.08554	0.18902	1	11
WE71	12.70176	14.05365	6.59474	2.59589	-2.06932	2.52342	563	0.537	0.74615	0.51203	0.19503	0.01624	0.08329	0.20388	2	11
WE72	12.80061	14.09984	6.62804	2.67987	-2.07674	2.53977	580.59998	0.582	0.71762	0.40914	0.22655	0.01762	0.07776	0.21517	3	11
WE73	12.8769	14.18531	6.64347	2.74901	-2.01068	2.59115	586.59998	0.579	0.6989	0.31294	0.23766	0.01636	0.06885	0.23477	4	11
WE74	13.05501	14.20046	6.75549	2.88355	-1.48513	2.83287	589.90002	0.607	0.66555	0.28249	0.25719	0.01842	0.07163	0.23619	5	11
WE75	13.19695	14.26394	6.80954	2.9807	-1.25776	2.95229	592.29999	0.606	0.67165	0.19932	0.27463	0.01772	0.06454	0.21526	6	11
WE76	13.30907	14.38824	6.806	3.05881	-1.16254	3.01849	610.79999	0.577	0.72839	0.54666	0.26766	0.00424	0.01584	0.25173	7	11
WE77	13.46077	14.48939	6.93265	3.22848	-1.01283	3.12226	645.5	0.574	0.73171	1	0.27871	0.00436	0.01565	0.22989	8	11
WE78	13.63332	14.567	7.14181	3.33898	-0.95225	3.28755	645.59998	0.654	0.76052	0.74399	0.15489	0.00203	0.01313	0.17094	9	11
WE79	13.80059	14.59904	7.27046	3.40292	-0.56852	3.27731	647	0.631	0.75324	0.90132	0.10385	0.00158	0.01517	0.09932	10	11
WE80	13.92736	14.54375	7.48392	3.51408	-0.14235	3.38961	679	0.569	0.81743	0.9647	0.06665	0.00077	0.0115	0.0137	11	11
AL70	11.95164	13.11299	5.33217	2.48295	-2.14315	2.52434	189.7	0.409	0.88361	0.51543	0.14256	0.00184	0.01287	0.06413	1	12
AL71	12.13404	13.21905	5.65836	2.64034	-2.09631	2.67209	198.60001	0.439	0.83946	0.7885	0.16055	0.00236	0.01473	0.06126	2	12
AL72	12.48334	13.46056	5.38505	2.76639	-2.0847	2.46721	203.10001	0.489	0.83269	0.52779	0.11932	0.00102	0.00859	0.07433	3	12
AL73	12.71355	13.63316	5.61957	2.85107	-2.04205	2.79247	217.39999	0.484	0.80755	0.49384	0.13033	0.00223	0.01713	0.09068	4	12
AL74	12.85271	13.57545	5.85445	2.88739	-1.5437	2.87488	228.8	0.53	0.79916	0.53731	0.12299	0.0019	0.01547	0.07546	5	12
